model_type,curve_type,class_name,precision,recall,samples_per_class,fold
RandomForest,per_class,B,0.11271133375078271,1.0,30,1
RandomForest,per_class,B,0.13075774090670542,0.9996913580246913,30,1
RandomForest,per_class,B,0.15345947740313937,0.9987654320987654,30,1
RandomForest,per_class,B,0.17697660402169743,0.9969135802469136,30,1
RandomForest,per_class,B,0.19996282067170654,0.9959876543209877,30,1
RandomForest,per_class,B,0.2240874895514071,0.9929012345679012,30,1
RandomForest,per_class,B,0.2474544893551373,0.9901234567901235,30,1
RandomForest,per_class,B,0.2703960731211916,0.9861111111111112,30,1
RandomForest,per_class,B,0.29297197978870004,0.9842592592592593,30,1
RandomForest,per_class,B,0.3132518240978111,0.9805555555555555,30,1
RandomForest,per_class,B,0.3311327674735408,0.9753086419753086,30,1
RandomForest,per_class,B,0.34676258992805753,0.9669753086419753,30,1
RandomForest,per_class,B,0.3623154713472045,0.962037037037037,30,1
RandomForest,per_class,B,0.37606009207656893,0.9580246913580247,30,1
RandomForest,per_class,B,0.3887977797401287,0.9512345679012346,30,1
RandomForest,per_class,B,0.40114837530993086,0.9487654320987654,30,1
RandomForest,per_class,B,0.41335862349275165,0.9416666666666667,30,1
RandomForest,per_class,B,0.4251648197503156,0.9354938271604938,30,1
RandomForest,per_class,B,0.43474490533314064,0.928395061728395,30,1
RandomForest,per_class,B,0.44360344315820716,0.9225308641975308,30,1
RandomForest,per_class,B,0.45170151075843124,0.9135802469135802,30,1
RandomForest,per_class,B,0.4602254932665205,0.9070987654320988,30,1
RandomForest,per_class,B,0.46883033419023135,0.9006172839506172,30,1
RandomForest,per_class,B,0.47829674863838917,0.8944444444444445,30,1
RandomForest,per_class,B,0.48662377243481203,0.8870370370370371,30,1
RandomForest,per_class,B,0.49342787962642687,0.8805555555555555,30,1
RandomForest,per_class,B,0.5002655337227828,0.8722222222222222,30,1
RandomForest,per_class,B,0.5074896228117668,0.8679012345679012,30,1
RandomForest,per_class,B,0.5132841328413285,0.858641975308642,30,1
RandomForest,per_class,B,0.5225940631499338,0.8530864197530864,30,1
RandomForest,per_class,B,0.5271153846153847,0.8459876543209877,30,1
RandomForest,per_class,B,0.5322327044025157,0.8358024691358025,30,1
RandomForest,per_class,B,0.5388310648518815,0.8308641975308642,30,1
RandomForest,per_class,B,0.5450836393308853,0.8246913580246914,30,1
RandomForest,per_class,B,0.5521766298687774,0.8182098765432099,30,1
RandomForest,per_class,B,0.557946314443971,0.8083333333333333,30,1
RandomForest,per_class,B,0.5643243243243243,0.8055555555555556,30,1
RandomForest,per_class,B,0.5723756906077349,0.7993827160493827,30,1
RandomForest,per_class,B,0.5777877697841727,0.7932098765432098,30,1
RandomForest,per_class,B,0.584519981626091,0.7854938271604939,30,1
RandomForest,per_class,B,0.58997668997669,0.7811728395061729,30,1
RandomForest,per_class,B,0.596021785460573,0.7768518518518519,30,1
RandomForest,per_class,B,0.6032359333494325,0.7709876543209877,30,1
RandomForest,per_class,B,0.6101819970486965,0.7657407407407407,30,1
RandomForest,per_class,B,0.6155383462403198,0.7604938271604939,30,1
RandomForest,per_class,B,0.6208735398679532,0.7546296296296297,30,1
RandomForest,per_class,B,0.6255175983436853,0.7459876543209877,30,1
RandomForest,per_class,B,0.6300105485232067,0.7373456790123457,30,1
RandomForest,per_class,B,0.6348314606741573,0.7324074074074074,30,1
RandomForest,per_class,B,0.6372789115646259,0.7228395061728395,30,1
RandomForest,per_class,B,0.6429165511505406,0.7157407407407408,30,1
RandomForest,per_class,B,0.6463140123804164,0.7089506172839506,30,1
RandomForest,per_class,B,0.6501432664756447,0.7003086419753086,30,1
RandomForest,per_class,B,0.6531976744186047,0.6935185185185185,30,1
RandomForest,per_class,B,0.6588964296252582,0.6891975308641975,30,1
RandomForest,per_class,B,0.6632683658170915,0.682716049382716,30,1
RandomForest,per_class,B,0.6687060263077393,0.6746913580246914,30,1
RandomForest,per_class,B,0.6737433655947549,0.6660493827160494,30,1
RandomForest,per_class,B,0.6794303797468354,0.6626543209876543,30,1
RandomForest,per_class,B,0.6837359098228664,0.6552469135802469,30,1
RandomForest,per_class,B,0.6875407697325505,0.6506172839506172,30,1
RandomForest,per_class,B,0.6878097125867195,0.6425925925925926,30,1
RandomForest,per_class,B,0.6915606162089752,0.6373456790123457,30,1
RandomForest,per_class,B,0.6981645139360979,0.6339506172839506,30,1
RandomForest,per_class,B,0.7025163736642537,0.6290123456790123,30,1
RandomForest,per_class,B,0.7062740974412899,0.6219135802469136,30,1
RandomForest,per_class,B,0.7141323792486584,0.6160493827160494,30,1
RandomForest,per_class,B,0.71989814477992,0.6108024691358025,30,1
RandomForest,per_class,B,0.7243803181650018,0.604320987654321,30,1
RandomForest,per_class,B,0.7287373548145373,0.6003086419753086,30,1
RandomForest,per_class,B,0.7330798479087453,0.5950617283950618,30,1
RandomForest,per_class,B,0.7351351351351352,0.5876543209876544,30,1
RandomForest,per_class,B,0.7375,0.582716049382716,30,1
RandomForest,per_class,B,0.7407847800237812,0.5768518518518518,30,1
RandomForest,per_class,B,0.7467793880837359,0.5725308641975309,30,1
RandomForest,per_class,B,0.7495908346972177,0.5654320987654321,30,1
RandomForest,per_class,B,0.7529166666666667,0.557716049382716,30,1
RandomForest,per_class,B,0.7560253699788584,0.5518518518518518,30,1
RandomForest,per_class,B,0.7600172339508833,0.5444444444444444,30,1
RandomForest,per_class,B,0.7603305785123967,0.5395061728395062,30,1
RandomForest,per_class,B,0.7627494456762749,0.5308641975308642,30,1
RandomForest,per_class,B,0.7638078132016165,0.525,30,1
RandomForest,per_class,B,0.7707473635946813,0.5188271604938272,30,1
RandomForest,per_class,B,0.7724941724941725,0.5114197530864197,30,1
RandomForest,per_class,B,0.7725118483412322,0.5030864197530864,30,1
RandomForest,per_class,B,0.7751081210956271,0.4978395061728395,30,1
RandomForest,per_class,B,0.776803118908382,0.4919753086419753,30,1
RandomForest,per_class,B,0.781700646444555,0.48518518518518516,30,1
RandomForest,per_class,B,0.7868020304568528,0.4783950617283951,30,1
RandomForest,per_class,B,0.7894196199280945,0.4743827160493827,30,1
RandomForest,per_class,B,0.7934100418410042,0.4682098765432099,30,1
RandomForest,per_class,B,0.795635976583289,0.46141975308641975,30,1
RandomForest,per_class,B,0.7971876690102758,0.45493827160493827,30,1
RandomForest,per_class,B,0.8005509641873279,0.4484567901234568,30,1
RandomForest,per_class,B,0.8076490438695163,0.44320987654320987,30,1
RandomForest,per_class,B,0.8090079817559863,0.43796296296296294,30,1
RandomForest,per_class,B,0.8118466898954704,0.43148148148148147,30,1
RandomForest,per_class,B,0.8150118203309693,0.42561728395061726,30,1
RandomForest,per_class,B,0.8149038461538461,0.4185185185185185,30,1
RandomForest,per_class,B,0.8170134638922889,0.41203703703703703,30,1
RandomForest,per_class,B,0.8202880400751409,0.404320987654321,30,1
RandomForest,per_class,B,0.8230818008877616,0.4006172839506173,30,1
RandomForest,per_class,B,0.8219354838709677,0.3932098765432099,30,1
RandomForest,per_class,B,0.8226439790575916,0.38796296296296295,30,1
RandomForest,per_class,B,0.8246666666666667,0.38179012345679014,30,1
RandomForest,per_class,B,0.8299319727891157,0.3765432098765432,30,1
RandomForest,per_class,B,0.8317241379310345,0.37222222222222223,30,1
RandomForest,per_class,B,0.8354341736694678,0.36820987654320986,30,1
RandomForest,per_class,B,0.8355871886120997,0.36234567901234566,30,1
RandomForest,per_class,B,0.8345481049562682,0.3533950617283951,30,1
RandomForest,per_class,B,0.8381804623415362,0.3469135802469136,30,1
RandomForest,per_class,B,0.84375,0.3416666666666667,30,1
RandomForest,per_class,B,0.8462138953942233,0.3345679012345679,30,1
RandomForest,per_class,B,0.8474980142970612,0.329320987654321,30,1
RandomForest,per_class,B,0.8517017828200972,0.32438271604938274,30,1
RandomForest,per_class,B,0.8557130942452044,0.31666666666666665,30,1
RandomForest,per_class,B,0.8549618320610687,0.3111111111111111,30,1
RandomForest,per_class,B,0.8549356223175966,0.3074074074074074,30,1
RandomForest,per_class,B,0.8571428571428571,0.3,30,1
RandomForest,per_class,B,0.8589511754068716,0.2932098765432099,30,1
RandomForest,per_class,B,0.8614958448753463,0.287962962962963,30,1
RandomForest,per_class,B,0.8635071090047394,0.28117283950617283,30,1
RandomForest,per_class,B,0.8689320388349514,0.2762345679012346,30,1
RandomForest,per_class,B,0.8706467661691543,0.2700617283950617,30,1
RandomForest,per_class,B,0.8713991769547325,0.26141975308641974,30,1
RandomForest,per_class,B,0.8739406779661016,0.25462962962962965,30,1
RandomForest,per_class,B,0.8767720828789531,0.24814814814814815,30,1
RandomForest,per_class,B,0.8779395296752519,0.2419753086419753,30,1
RandomForest,per_class,B,0.880184331797235,0.23580246913580247,30,1
RandomForest,per_class,B,0.8804733727810651,0.22962962962962963,30,1
RandomForest,per_class,B,0.8837209302325582,0.2228395061728395,30,1
RandomForest,per_class,B,0.8883312421580929,0.21851851851851853,30,1
RandomForest,per_class,B,0.8915032679738563,0.21049382716049383,30,1
RandomForest,per_class,B,0.8945945945945946,0.204320987654321,30,1
RandomForest,per_class,B,0.898186889818689,0.19876543209876543,30,1
RandomForest,per_class,B,0.897841726618705,0.1925925925925926,30,1
RandomForest,per_class,B,0.8995502248875562,0.18518518518518517,30,1
RandomForest,per_class,B,0.9073783359497645,0.17839506172839506,30,1
RandomForest,per_class,B,0.9071310116086235,0.16882716049382715,30,1
RandomForest,per_class,B,0.9125214408233276,0.16419753086419753,30,1
RandomForest,per_class,B,0.92,0.15617283950617283,30,1
RandomForest,per_class,B,0.9251439539347409,0.14876543209876544,30,1
RandomForest,per_class,B,0.9262948207171314,0.14351851851851852,30,1
RandomForest,per_class,B,0.9272349272349273,0.13765432098765432,30,1
RandomForest,per_class,B,0.9315673289183223,0.13024691358024693,30,1
RandomForest,per_class,B,0.9305555555555556,0.12407407407407407,30,1
RandomForest,per_class,B,0.9264705882352942,0.11666666666666667,30,1
RandomForest,per_class,B,0.9373368146214099,0.11080246913580247,30,1
RandomForest,per_class,B,0.9426934097421203,0.10154320987654321,30,1
RandomForest,per_class,B,0.94375,0.09320987654320988,30,1
RandomForest,per_class,B,0.9501661129568106,0.0882716049382716,30,1
RandomForest,per_class,B,0.951048951048951,0.08395061728395062,30,1
RandomForest,per_class,B,0.947565543071161,0.07808641975308642,30,1
RandomForest,per_class,B,0.9465020576131687,0.07098765432098765,30,1
RandomForest,per_class,B,0.9519650655021834,0.06728395061728396,30,1
RandomForest,per_class,B,0.957345971563981,0.06234567901234568,30,1
RandomForest,per_class,B,0.9617486338797814,0.05432098765432099,30,1
RandomForest,per_class,B,0.9593023255813954,0.05092592592592592,30,1
RandomForest,per_class,B,0.9548387096774194,0.04567901234567901,30,1
RandomForest,per_class,B,0.958904109589041,0.043209876543209874,30,1
RandomForest,per_class,B,0.9615384615384616,0.038580246913580245,30,1
RandomForest,per_class,B,0.9655172413793104,0.0345679012345679,30,1
RandomForest,per_class,B,0.9711538461538461,0.03117283950617284,30,1
RandomForest,per_class,B,0.978494623655914,0.02808641975308642,30,1
RandomForest,per_class,B,0.9866666666666667,0.022839506172839506,30,1
RandomForest,per_class,B,0.9857142857142858,0.021296296296296296,30,1
RandomForest,per_class,B,1.0,0.020061728395061727,30,1
RandomForest,per_class,B,1.0,0.01728395061728395,30,1
RandomForest,per_class,B,1.0,0.014506172839506172,30,1
RandomForest,per_class,B,1.0,0.012962962962962963,30,1
RandomForest,per_class,B,1.0,0.011728395061728396,30,1
RandomForest,per_class,B,1.0,0.009876543209876543,30,1
RandomForest,per_class,B,1.0,0.007407407407407408,30,1
RandomForest,per_class,B,1.0,0.006481481481481481,30,1
RandomForest,per_class,B,1.0,0.005555555555555556,30,1
RandomForest,per_class,B,1.0,0.0049382716049382715,30,1
RandomForest,per_class,B,1.0,0.004012345679012346,30,1
RandomForest,per_class,B,1.0,0.003703703703703704,30,1
RandomForest,per_class,B,1.0,0.0030864197530864196,30,1
RandomForest,per_class,B,1.0,0.0024691358024691358,30,1
RandomForest,per_class,B,1.0,0.001851851851851852,30,1
RandomForest,per_class,B,1.0,0.000925925925925926,30,1
RandomForest,per_class,B,1.0,0.0006172839506172839,30,1
RandomForest,per_class,B,1.0,0.00030864197530864197,30,1
RandomForest,per_class,B,1.0,0.0,30,1
RandomForest,per_class,CD4 T,0.26076671536909485,1.0,30,1
RandomForest,per_class,CD4 T,0.271609416373463,0.9989327641408752,30,1
RandomForest,per_class,CD4 T,0.28711844883854865,0.9975987193169691,30,1
RandomForest,per_class,CD4 T,0.3021297271034092,0.9954642475987193,30,1
RandomForest,per_class,CD4 T,0.3168114460909555,0.9925293489861259,30,1
RandomForest,per_class,CD4 T,0.33073357696764416,0.9899946638207043,30,1
RandomForest,per_class,CD4 T,0.3447793225716152,0.9858591248665955,30,1
RandomForest,per_class,CD4 T,0.3593696471394313,0.9795891141942369,30,1
RandomForest,per_class,CD4 T,0.37432744043043814,0.9745197438633938,30,1
RandomForest,per_class,CD4 T,0.38940525439209156,0.9669156883671292,30,1
