model_type,curve_type,class_name,precision,recall,samples_per_class,fold
RandomForest,per_class,B,0.11271133375078271,1.0,30,3
RandomForest,per_class,B,0.12396662584200857,0.9996913580246913,30,3
RandomForest,per_class,B,0.13911922663802362,0.9993827160493827,30,3
RandomForest,per_class,B,0.15618347203406233,0.9962962962962963,30,3
RandomForest,per_class,B,0.17453698689483374,0.9947530864197531,30,3
RandomForest,per_class,B,0.19458217438626194,0.9932098765432099,30,3
RandomForest,per_class,B,0.21558092679650773,0.9907407407407407,30,3
RandomForest,per_class,B,0.23755017095287648,0.9864197530864197,30,3
RandomForest,per_class,B,0.2601439790575916,0.9814814814814815,30,3
RandomForest,per_class,B,0.2820832961740837,0.9762345679012345,30,3
RandomForest,per_class,B,0.30420054200542007,0.9700617283950618,30,3
RandomForest,per_class,B,0.32595762446508714,0.9638888888888889,30,3
RandomForest,per_class,B,0.3475193190726845,0.957716049382716,30,3
RandomForest,per_class,B,0.36663894499227756,0.9524691358024692,30,3
RandomForest,per_class,B,0.38415245737211634,0.945679012345679,30,3
RandomForest,per_class,B,0.39847649067507224,0.9364197530864198,30,3
RandomForest,per_class,B,0.4136695604244178,0.9265432098765433,30,3
RandomForest,per_class,B,0.4258175067828074,0.9203703703703704,30,3
RandomForest,per_class,B,0.43853919239904987,0.9117283950617284,30,3
RandomForest,per_class,B,0.4525061881188119,0.9027777777777778,30,3
RandomForest,per_class,B,0.4629422122618857,0.8925925925925926,30,3
RandomForest,per_class,B,0.472568988173456,0.887962962962963,30,3
RandomForest,per_class,B,0.481612685560054,0.8811728395061729,30,3
RandomForest,per_class,B,0.48906492164628895,0.8765432098765432,30,3
RandomForest,per_class,B,0.4960324457767589,0.8682098765432099,30,3
RandomForest,per_class,B,0.5038015930485156,0.8589506172839506,30,3
RandomForest,per_class,B,0.5101663585951941,0.8518518518518519,30,3
RandomForest,per_class,B,0.516195856873823,0.8459876543209877,30,3
RandomForest,per_class,B,0.5197318007662836,0.8373456790123457,30,3
RandomForest,per_class,B,0.5229929851909587,0.828395061728395,30,3
RandomForest,per_class,B,0.5287105106298431,0.8212962962962963,30,3
RandomForest,per_class,B,0.534357316087308,0.8160493827160494,30,3
