model_type,curve_type,class_name,precision,recall,samples_per_class,fold
RandomForest,per_class,B,0.11271133375078271,1.0,30,4
RandomForest,per_class,B,0.12486030290184592,1.0,30,4
RandomForest,per_class,B,0.1411446754718626,0.9993827160493827,30,4
RandomForest,per_class,B,0.15898470165773035,0.9975308641975309,30,4
RandomForest,per_class,B,0.17734233492507823,0.9972222222222222,30,4
RandomForest,per_class,B,0.19620368680416134,0.9953703703703703,30,4
RandomForest,per_class,B,0.21550221268606679,0.9919753086419754,30,4
RandomForest,per_class,B,0.2357484369253402,0.9891975308641975,30,4
RandomForest,per_class,B,0.25486753909990423,0.9858024691358025,30,4
RandomForest,per_class,B,0.27259500171174256,0.9830246913580247,30,4
RandomForest,per_class,B,0.29060064190738194,0.9780864197530864,30,4
RandomForest,per_class,B,0.307012432012432,0.9756172839506173,30,4
RandomForest,per_class,B,0.32214146790869075,0.9712962962962963,30,4
RandomForest,per_class,B,0.3380418373948674,0.9675925925925926,30,4
RandomForest,per_class,B,0.35392112420670896,0.9638888888888889,30,4
RandomForest,per_class,B,0.3675688452901548,0.9598765432098766,30,4
RandomForest,per_class,B,0.38068321454902926,0.9561728395061728,30,4
RandomForest,per_class,B,0.3926302414231258,0.9537037037037037,30,4
RandomForest,per_class,B,0.40471486895825104,0.9484567901234567,30,4
RandomForest,per_class,B,0.41608914254654167,0.9450617283950618,30,4
RandomForest,per_class,B,0.4273492286115007,0.9404320987654321,30,4
RandomForest,per_class,B,0.4384515006524576,0.9333333333333333,30,4
RandomForest,per_class,B,0.44964136282127914,0.9287037037037037,30,4
RandomForest,per_class,B,0.4599201474201474,0.9243827160493827,30,4
RandomForest,per_class,B,0.47091368953525137,0.9194444444444444,30,4
RandomForest,per_class,B,0.4793388429752066,0.912962962962963,30,4
RandomForest,per_class,B,0.48741721854304637,0.908641975308642,30,4
RandomForest,per_class,B,0.49426063470627957,0.9037037037037037,30,4
RandomForest,per_class,B,0.5025960539979232,0.8962962962962963,30,4
RandomForest,per_class,B,0.5108984582668793,0.8898148148148148,30,4
RandomForest,per_class,B,0.5181966322650733,0.8833333333333333,30,4
RandomForest,per_class,B,0.5281546181007247,0.8771604938271605,30,4
RandomForest,per_class,B,0.5377142857142857,0.8712962962962963,30,4
RandomForest,per_class,B,0.5460757516595081,0.8632716049382716,30,4
RandomForest,per_class,B,0.5522060291475345,0.8537037037037037,30,4
RandomForest,per_class,B,0.5604575163398693,0.8469135802469135,30,4
RandomForest,per_class,B,0.5679631953157674,0.8382716049382716,30,4
RandomForest,per_class,B,0.5742004264392324,0.8311728395061728,30,4
RandomForest,per_class,B,0.5788332248969855,0.8237654320987654,30,4
RandomForest,per_class,B,0.588809946714032,0.8185185185185185,30,4
RandomForest,per_class,B,0.5953026196928636,0.8135802469135802,30,4
RandomForest,per_class,B,0.6013824884792627,0.8055555555555556,30,4
RandomForest,per_class,B,0.609779031499765,0.8006172839506173,30,4
RandomForest,per_class,B,0.6145533141210374,0.7898148148148149,30,4
RandomForest,per_class,B,0.6223535204332841,0.7802469135802469,30,4
RandomForest,per_class,B,0.6276969392875063,0.7722222222222223,30,4
RandomForest,per_class,B,0.6331542594013815,0.7638888888888888,30,4
RandomForest,per_class,B,0.640031233732431,0.7589506172839506,30,4
RandomForest,per_class,B,0.6454521347122779,0.7512345679012346,30,4
RandomForest,per_class,B,0.6496094802046862,0.7444444444444445,30,4
RandomForest,per_class,B,0.6526488257782632,0.7376543209876543,30,4
RandomForest,per_class,B,0.656327887011908,0.7314814814814815,30,4
RandomForest,per_class,B,0.66132658797077,0.7262345679012345,30,4
RandomForest,per_class,B,0.6678131269704787,0.7191358024691358,30,4
RandomForest,per_class,B,0.6732673267326733,0.7135802469135802,30,4
RandomForest,per_class,B,0.6787410926365796,0.7055555555555556,30,4
RandomForest,per_class,B,0.6827126854374811,0.6959876543209876,30,4
