class,precision,recall,f1-score,accuracy,support,samples_per_class,fold,model
Epithelial,0.12655800575263662,0.29333333333333333,0.1768251841929002,0.9572462255618173,450.0,30,5,MAPS
Lymphatic,0.4990403071017274,0.6896551724137931,0.5790645879732739,0.9737006887914841,754.0,30,5,MAPS
M1,0.337220602526725,0.5596774193548387,0.42086112795633723,0.9667779865024699,620.0,30,5,MAPS
M2,0.525062656641604,0.5751544269045985,0.548968227972486,0.9520976831559174,1457.0,30,5,MAPS
Mast,0.7161572052401747,0.7398496240601504,0.7278106508875739,0.9871982188826272,665.0,30,5,MAPS
Monocyte,0.44657762938230383,0.3871201157742402,0.4147286821705426,0.9474709524803451,1382.0,30,5,MAPS
NK,0.6240549828178694,0.6185286103542235,0.6212795073554567,0.9614902943018159,1468.0,30,5,MAPS
Neutrophil,0.49740932642487046,0.4186046511627907,0.4546172059984215,0.9759618729562374,688.0,30,5,MAPS
Other,0.3962131837307153,0.5533790401567091,0.46178994687372293,0.9541849300772282,1021.0,30,5,MAPS
Treg,0.5054021608643458,0.6274217585692996,0.5598404255319149,0.9769707089682043,671.0,30,5,MAPS
Tumor,0.63232421875,0.7838983050847458,0.7000000000000001,0.9613859319557504,1652.0,30,5,MAPS
overall,0.5130815337449157,0.5578959052885173,0.5253459876099299,0.5324566896263828,,30,5,MAPS
B,0.7548032936870998,0.7638888888888888,0.7593189139438563,0.9454184930077228,3240.0,200,1,MAPS
CD4 T,0.8160352422907489,0.6177961579509071,0.7032116012451599,0.8640158630766019,7496.0,200,1,MAPS
CD8 T,0.8683385579937304,0.78827546955037,0.8263723150357996,0.9595074097265707,3514.0,200,1,MAPS
DC,0.672972972972973,0.6460819927348209,0.6592533756949961,0.9552285535378835,1927.0,200,1,MAPS
Endothelial,0.8149829738933031,0.8248133256748995,0.8198686839851557,0.9780491198775482,1741.0,200,1,MAPS
Epithelial,0.6023102310231023,0.8111111111111111,0.6912878787878788,0.9886592917275447,450.0,200,1,MAPS
Lymphatic,0.758177570093458,0.8607427055702918,0.8062111801242235,0.9891463160091839,754.0,200,1,MAPS
M1,0.41192170818505336,0.7467741935483871,0.5309633027522935,0.9715438669727963,620.0,200,1,MAPS
M2,0.6386603995299648,0.7460535346602608,0.6881924659702437,0.9657343630418145,1457.0,200,1,MAPS
Mast,0.8105960264900662,0.9203007518796993,0.8619718309859155,0.9931816600570514,665.0,200,1,MAPS
Monocyte,0.6230128690386071,0.5955137481910275,0.6089530151683314,0.9632296667362416,1382.0,200,1,MAPS
NK,0.7694444444444445,0.7547683923705722,0.7620357634112793,0.9759270855075489,1468.0,200,1,MAPS
Neutrophil,0.5538033395176253,0.8677325581395349,0.6761041902604756,0.9801015793501705,688.0,200,1,MAPS
Other,0.6065830721003135,0.7580803134182175,0.6739225076186329,0.9739442009323036,1021.0,200,1,MAPS
Treg,0.42492260061919507,0.8181818181818182,0.5593479368313806,0.9699088568844361,671.0,200,1,MAPS
Tumor,0.8993506493506493,0.8383777239709443,0.8677944862155388,0.9853196966534474,1652.0,200,1,MAPS
overall,0.6891197469518959,0.7724057928651095,0.7184255905019475,0.729458011549433,,200,1,MAPS
B,0.3915752002373183,0.4074074074074074,0.39933444259567386,0.8618590412579141,3240.0,15,1,MAPS
CD4 T,0.5297441998810232,0.23759338313767342,0.3280530484435439,0.7461907743686078,7496.0,15,1,MAPS
CD8 T,0.4967759269210102,0.5261809903244166,0.5110558319513543,0.8769220065400404,3514.0,15,1,MAPS
DC,0.1896697713801863,0.3487285936689154,0.2457038391224863,0.8564669867111946,1927.0,15,1,MAPS
Endothelial,0.5427547363031234,0.6088454910970706,0.5739036275040607,0.9452445557642802,1741.0,15,1,MAPS
