model_type,curve_type,class_name,precision,recall,samples_per_class,fold
RandomForest,per_class,B,0.11271133375078271,1.0,30,5
RandomForest,per_class,B,0.12276844938028275,0.9996913580246913,30,5
RandomForest,per_class,B,0.1375589447300225,0.9993827160493827,30,5
RandomForest,per_class,B,0.15452591354191544,0.9984567901234568,30,5
RandomForest,per_class,B,0.17340916407339843,0.9975308641975309,30,5
RandomForest,per_class,B,0.1931892991800826,0.9962962962962963,30,5
RandomForest,per_class,B,0.21272378939023584,0.9938271604938271,30,5
RandomForest,per_class,B,0.23252610208816704,0.9898148148148148,30,5
RandomForest,per_class,B,0.25220820189274445,0.987037037037037,30,5
RandomForest,per_class,B,0.2714735677194177,0.9842592592592593,30,5
RandomForest,per_class,B,0.28936131552648314,0.9830246913580247,30,5
RandomForest,per_class,B,0.3064096385542169,0.9811728395061728,30,5
RandomForest,per_class,B,0.3204609785685402,0.9783950617283951,30,5
RandomForest,per_class,B,0.3353509610279282,0.9746913580246913,30,5
RandomForest,per_class,B,0.34870317002881845,0.9709876543209877,30,5
RandomForest,per_class,B,0.36153757358882604,0.9666666666666667,30,5
RandomForest,per_class,B,0.3746543224720452,0.9617283950617284,30,5
RandomForest,per_class,B,0.38467271146441434,0.9558641975308642,30,5
RandomForest,per_class,B,0.3957102491651682,0.950925925925926,30,5
RandomForest,per_class,B,0.40658904472082563,0.9484567901234567,30,5
RandomForest,per_class,B,0.4160991555434487,0.9429012345679012,30,5
RandomForest,per_class,B,0.42843040473840077,0.9376543209876543,30,5
RandomForest,per_class,B,0.4379973954565186,0.9342592592592592,30,5
RandomForest,per_class,B,0.4472980997624703,0.9299382716049382,30,5
RandomForest,per_class,B,0.4561083219230184,0.9253086419753086,30,5
RandomForest,per_class,B,0.4650398873768184,0.9175925925925926,30,5
RandomForest,per_class,B,0.4739625060086525,0.912962962962963,30,5
RandomForest,per_class,B,0.48192376901684936,0.9092592592592592,30,5
RandomForest,per_class,B,0.4899699097291876,0.9046296296296297,30,5
RandomForest,per_class,B,0.49701619778346123,0.8996913580246914,30,5
RandomForest,per_class,B,0.504087667420421,0.8944444444444445,30,5
RandomForest,per_class,B,0.5121821091943802,0.8888888888888888,30,5
RandomForest,per_class,B,0.518920876335325,0.8845679012345679,30,5
RandomForest,per_class,B,0.5254518627812615,0.879320987654321,30,5
RandomForest,per_class,B,0.5306466729147141,0.8737654320987654,30,5
RandomForest,per_class,B,0.5365946875597172,0.8666666666666667,30,5
RandomForest,per_class,B,0.5429961089494163,0.8614197530864197,30,5
RandomForest,per_class,B,0.5507533703409992,0.8574074074074074,30,5
RandomForest,per_class,B,0.5563167439048963,0.8521604938271605,30,5
RandomForest,per_class,B,0.5611555009219422,0.8453703703703703,30,5
RandomForest,per_class,B,0.5680917622523461,0.8407407407407408,30,5
RandomForest,per_class,B,0.5744364100382816,0.8336419753086419,30,5
RandomForest,per_class,B,0.5791639592809184,0.8253086419753086,30,5
RandomForest,per_class,B,0.5848558221439577,0.8200617283950618,30,5
RandomForest,per_class,B,0.5917955615332885,0.8148148148148148,30,5
RandomForest,per_class,B,0.5959137343927355,0.8101851851851852,30,5
RandomForest,per_class,B,0.6009681881051175,0.8046296296296296,30,5
RandomForest,per_class,B,0.6046783625730994,0.7978395061728395,30,5
RandomForest,per_class,B,0.6095759885659838,0.7898148148148149,30,5
RandomForest,per_class,B,0.6146412176854312,0.7851851851851852,30,5
RandomForest,per_class,B,0.6180572547100562,0.7796296296296297,30,5
RandomForest,per_class,B,0.6225149105367793,0.7731481481481481,30,5
RandomForest,per_class,B,0.627046084109796,0.7685185185185185,30,5
RandomForest,per_class,B,0.6312963436461263,0.7620370370370371,30,5
RandomForest,per_class,B,0.6350478159731197,0.7583333333333333,30,5
RandomForest,per_class,B,0.64080988693137,0.7521604938271605,30,5
RandomForest,per_class,B,0.6459727053786459,0.7450617283950617,30,5
RandomForest,per_class,B,0.6520555404301661,0.7391975308641975,30,5
RandomForest,per_class,B,0.6560773480662984,0.7330246913580247,30,5
RandomForest,per_class,B,0.6606691031768344,0.7253086419753086,30,5
RandomForest,per_class,B,0.6659982812947579,0.7175925925925926,30,5
RandomForest,per_class,B,0.6710258645742516,0.7126543209876544,30,5
RandomForest,per_class,B,0.6751254057244025,0.7061728395061728,30,5
RandomForest,per_class,B,0.6795795795795796,0.6984567901234567,30,5
RandomForest,per_class,B,0.6832468721391517,0.6910493827160494,30,5
RandomForest,per_class,B,0.6863777089783282,0.6842592592592592,30,5
RandomForest,per_class,B,0.6913385826771653,0.6774691358024691,30,5
RandomForest,per_class,B,0.6949314631813834,0.6728395061728395,30,5
RandomForest,per_class,B,0.701400195376099,0.6648148148148149,30,5
RandomForest,per_class,B,0.7063492063492064,0.6592592592592592,30,5
RandomForest,per_class,B,0.7119784656796769,0.6530864197530865,30,5
RandomForest,per_class,B,0.7152611812905428,0.6466049382716049,30,5
RandomForest,per_class,B,0.7186958029830038,0.6395061728395062,30,5
RandomForest,per_class,B,0.7220063581773225,0.6308641975308642,30,5
RandomForest,per_class,B,0.725314183123878,0.6234567901234568,30,5
RandomForest,per_class,B,0.7316270566727605,0.6175925925925926,30,5
RandomForest,per_class,B,0.7371364653243848,0.6101851851851852,30,5
RandomForest,per_class,B,0.7418498862774829,0.6040123456790123,30,5
RandomForest,per_class,B,0.7452866487110427,0.5978395061728395,30,5
RandomForest,per_class,B,0.7474509803921568,0.5882716049382716,30,5
RandomForest,per_class,B,0.7522088353413655,0.5780864197530864,30,5
RandomForest,per_class,B,0.7552104617899469,0.5703703703703704,30,5
