model_type,curve_type,class_name,precision,recall,samples_per_class,fold
RandomForest,per_class,B,0.11271133375078271,1.0,30,2
RandomForest,per_class,B,0.1218346690747639,0.9993827160493827,30,2
RandomForest,per_class,B,0.13534464697255394,0.9969135802469136,30,2
RandomForest,per_class,B,0.15197325044739568,0.9959876543209877,30,2
RandomForest,per_class,B,0.1695111672987779,0.9932098765432099,30,2
RandomForest,per_class,B,0.1882677952154235,0.9885802469135803,30,2
RandomForest,per_class,B,0.2066415877545726,0.9833333333333333,30,2
RandomForest,per_class,B,0.2249272482078217,0.9780864197530864,30,2
RandomForest,per_class,B,0.2435333178905104,0.9734567901234568,30,2
RandomForest,per_class,B,0.26243739565943236,0.9703703703703703,30,2
RandomForest,per_class,B,0.2796496559120565,0.9657407407407408,30,2
RandomForest,per_class,B,0.29658518025302005,0.9623456790123457,30,2
RandomForest,per_class,B,0.31196538190600787,0.9567901234567902,30,2
RandomForest,per_class,B,0.32561843083129843,0.946604938271605,30,2
RandomForest,per_class,B,0.3405659322223465,0.9398148148148148,30,2
RandomForest,per_class,B,0.35371997656707677,0.9317901234567901,30,2
RandomForest,per_class,B,0.36680528375733856,0.9256172839506173,30,2
RandomForest,per_class,B,0.3788187372708758,0.9185185185185185,30,2
RandomForest,per_class,B,0.39131010729897997,0.9117283950617284,30,2
RandomForest,per_class,B,0.4025528410650563,0.9052469135802469,30,2
RandomForest,per_class,B,0.4128088611190003,0.8972222222222223,30,2
RandomForest,per_class,B,0.422733264977296,0.8907407407407407,30,2
RandomForest,per_class,B,0.43347444814030844,0.8848765432098765,30,2
RandomForest,per_class,B,0.44347555278729367,0.8790123456790123,30,2
RandomForest,per_class,B,0.4554519137986491,0.8740740740740741,30,2
RandomForest,per_class,B,0.4650124069478908,0.8675925925925926,30,2
RandomForest,per_class,B,0.47589848407426333,0.8623456790123457,30,2
RandomForest,per_class,B,0.4853790929784626,0.8555555555555555,30,2
RandomForest,per_class,B,0.4920407798247183,0.8490740740740741,30,2
RandomForest,per_class,B,0.49954354573671716,0.8444444444444444,30,2
RandomForest,per_class,B,0.5059723777528928,0.8367283950617284,30,2
RandomForest,per_class,B,0.5138279610909785,0.8314814814814815,30,2
RandomForest,per_class,B,0.5197509243043393,0.8243827160493827,30,2
RandomForest,per_class,B,0.5281704160860043,0.8188271604938272,30,2
RandomForest,per_class,B,0.5341993099249036,0.8123456790123457,30,2
RandomForest,per_class,B,0.5422782716559851,0.8095679012345679,30,2
RandomForest,per_class,B,0.5502746092099704,0.8040123456790124,30,2
RandomForest,per_class,B,0.555531686358754,0.7981481481481482,30,2
RandomForest,per_class,B,0.5620757608933654,0.792283950617284,30,2
RandomForest,per_class,B,0.5693202146690519,0.7858024691358024,30,2
RandomForest,per_class,B,0.5761980467862821,0.7830246913580247,30,2
RandomForest,per_class,B,0.5831018518518518,0.7774691358024691,30,2
RandomForest,per_class,B,0.5875294117647059,0.770679012345679,30,2
RandomForest,per_class,B,0.5919636450609902,0.7638888888888888,30,2
RandomForest,per_class,B,0.5980558930741191,0.7595679012345679,30,2
RandomForest,per_class,B,0.6017262638717632,0.7530864197530864,30,2
RandomForest,per_class,B,0.6071607411116675,0.7484567901234568,30,2
RandomForest,per_class,B,0.6125095347063311,0.7435185185185185,30,2
RandomForest,per_class,B,0.6178294573643411,0.7379629629629629,30,2
RandomForest,per_class,B,0.6224088165835738,0.7320987654320987,30,2
RandomForest,per_class,B,0.629975955116217,0.7277777777777777,30,2
RandomForest,per_class,B,0.6330721426641448,0.7231481481481481,30,2
RandomForest,per_class,B,0.6366867140513942,0.7188271604938271,30,2
RandomForest,per_class,B,0.6398117386489479,0.7132716049382716,30,2
RandomForest,per_class,B,0.6429775280898876,0.7064814814814815,30,2
RandomForest,per_class,B,0.6462857142857142,0.6981481481481482,30,2
RandomForest,per_class,B,0.6497388276262334,0.6910493827160494,30,2
RandomForest,per_class,B,0.6542991755005889,0.6858024691358025,30,2
RandomForest,per_class,B,0.6586093703372128,0.6811728395061728,30,2
RandomForest,per_class,B,0.662031438935913,0.6759259259259259,30,2
RandomForest,per_class,B,0.663206106870229,0.6703703703703704,30,2
RandomForest,per_class,B,0.668425954672462,0.6645061728395062,30,2
RandomForest,per_class,B,0.6719292706030944,0.6567901234567901,30,2
RandomForest,per_class,B,0.6758488148622678,0.6512345679012346,30,2
RandomForest,per_class,B,0.6804965697484482,0.6429012345679013,30,2
RandomForest,per_class,B,0.6842629482071713,0.6361111111111111,30,2
RandomForest,per_class,B,0.6885135135135135,0.6290123456790123,30,2
RandomForest,per_class,B,0.6890181320561067,0.6216049382716049,30,2
RandomForest,per_class,B,0.6932962834317471,0.6160493827160494,30,2
RandomForest,per_class,B,0.6971508969398522,0.6117283950617284,30,2
RandomForest,per_class,B,0.7009978617248752,0.6070987654320987,30,2
RandomForest,per_class,B,0.7052669552669553,0.6033950617283951,30,2
RandomForest,per_class,B,0.7085168869309838,0.595679012345679,30,2
RandomForest,per_class,B,0.7118834080717489,0.5879629629629629,30,2
RandomForest,per_class,B,0.715261958997722,0.5814814814814815,30,2
RandomForest,per_class,B,0.7176607281177382,0.5719135802469136,30,2
RandomForest,per_class,B,0.7202824637112594,0.5666666666666667,30,2
RandomForest,per_class,B,0.722488038277512,0.5592592592592592,30,2
RandomForest,per_class,B,0.7260551948051948,0.5521604938271605,30,2
RandomForest,per_class,B,0.7303417044051049,0.5475308641975308,30,2
RandomForest,per_class,B,0.7326359832635984,0.5404320987654321,30,2
RandomForest,per_class,B,0.7352566822231651,0.5348765432098765,30,2
RandomForest,per_class,B,0.7388123924268503,0.5299382716049382,30,2
RandomForest,per_class,B,0.7411764705882353,0.525,30,2
RandomForest,per_class,B,0.7429328621908127,0.5191358024691358,30,2
RandomForest,per_class,B,0.7466367713004485,0.5138888888888888,30,2
RandomForest,per_class,B,0.75,0.5074074074074074,30,2
RandomForest,per_class,B,0.7556791840519239,0.5030864197530864,30,2
RandomForest,per_class,B,0.7598684210526315,0.49907407407407406,30,2
RandomForest,per_class,B,0.7627684964200477,0.49320987654320986,30,2
RandomForest,per_class,B,0.7641921397379913,0.4861111111111111,30,2
RandomForest,per_class,B,0.7694965449160909,0.48117283950617284,30,2
RandomForest,per_class,B,0.7740480961923848,0.47685185185185186,30,2
RandomForest,per_class,B,0.7759060745278203,0.4691358024691358,30,2
RandomForest,per_class,B,0.7801455301455301,0.46327160493827163,30,2
RandomForest,per_class,B,0.7823560486001057,0.45709876543209876,30,2
RandomForest,per_class,B,0.7872913301023156,0.45123456790123456,30,2
RandomForest,per_class,B,0.787945205479452,0.44382716049382714,30,2
RandomForest,per_class,B,0.7918978912319645,0.4404320987654321,30,2
RandomForest,per_class,B,0.7925381571509327,0.4327160493827161,30,2
RandomForest,per_class,B,0.7977983777520278,0.425,30,2
RandomForest,per_class,B,0.8004722550177096,0.4185185185185185,30,2
RandomForest,per_class,B,0.8047016274864376,0.41203703703703703,30,2
RandomForest,per_class,B,0.8065311152187308,0.40401234567901234,30,2
RandomForest,per_class,B,0.8122243226212981,0.39783950617283953,30,2
RandomForest,per_class,B,0.8169014084507042,0.39382716049382716,30,2
RandomForest,per_class,B,0.8198433420365535,0.38765432098765434,30,2
RandomForest,per_class,B,0.823020625415835,0.38179012345679014,30,2
RandomForest,per_class,B,0.8291525423728814,0.37746913580246916,30,2
RandomForest,per_class,B,0.8328710124826629,0.370679012345679,30,2
RandomForest,per_class,B,0.8364022662889519,0.36450617283950615,30,2
RandomForest,per_class,B,0.8422575976845152,0.3592592592592593,30,2
RandomForest,per_class,B,0.8475699558173785,0.3552469135802469,30,2
RandomForest,per_class,B,0.8496978851963746,0.3472222222222222,30,2
RandomForest,per_class,B,0.8562644119907763,0.34382716049382717,30,2
RandomForest,per_class,B,0.8598425196850393,0.337037037037037,30,2
RandomForest,per_class,B,0.8633440514469454,0.3314814814814815,30,2
RandomForest,per_class,B,0.8667763157894737,0.3253086419753086,30,2
RandomForest,per_class,B,0.8698224852071006,0.3175925925925926,30,2
RandomForest,per_class,B,0.8731665228645384,0.31234567901234567,30,2
RandomForest,per_class,B,0.8758928571428571,0.30277777777777776,30,2
RandomForest,per_class,B,0.8786496350364964,0.2972222222222222,30,2
RandomForest,per_class,B,0.8842897460018815,0.29012345679012347,30,2
RandomForest,per_class,B,0.8894230769230769,0.2854938271604938,30,2
RandomForest,per_class,B,0.8925049309664694,0.279320987654321,30,2
RandomForest,per_class,B,0.8921370967741935,0.27314814814814814,30,2
